Video,Views,
Justin Bieber - Intentions (Official Video (Short Version)) ft. Quavo,"175,597,285",
Ozuna x Karol G x Myke Towers - Caramelo Remix (Video Oficial),"175,322,523",
SE FOR AMOR - João Gomes e Vitor Fernandes (DVD Ao Vivo em Fortaleza),"175,161,898",
Imagine Dragons - Thunder,"174,978,778",
Daddy Yankee & Marc Anthony - De Vuelta Pa' La Vuelta (Video Oficial),"173,741,965",
"Becky G, El Alfa - FULANITO (Official Video)","173,128,622",
BAD BUNNY - BOOKER T (Video Oficial),"173,007,566",
Master KG - Jerusalema [Feat. Nomcebo] (Official Music Video),"172,941,498",
The Weeknd - I Feel It Coming ft. Daft Punk (Official Video),"172,633,194",
Maluma - Sobrio (Official Video),"172,441,696",
Harrdy Sandhu - Bijlee Bijlee ft Palak Tiwari | Jaani | BPraak | Arvindr Khaira | Desi Melodies,"172,288,241",
CantaJuego - Soy Una Taza (Version Mexico),"171,728,985",
Nio Garcia - AM (Video Oficial),"171,713,753",
Anne-Marie - 2002 [Official Video],"171,434,764",
Kurtuluş Kuş & Burak Bulut - Sevmedim Deme,"171,403,393",
"Dil Meri Na Sune Lyrical - Genius | Utkarsh, Ishita | Atif Aslam | Himesh Reshammiya | Manoj","171,329,412",
Squid Game (acapella),"171,322,466",
Mora x Bad Bunny x Sech - Volando Remix (Video Oficial),"170,190,967",
Crazy Frog - Crazy Frog In The House (Official Video),"170,016,968",
Shawn Mendes - Treat You Better,"169,804,337",
Imran Khan - Satisfya (Official Music Video),"169,644,098",
#Video​ || #Khesari​ Lal Yadav | दुई रूपया | #Antra Singh | Dui Rupaiyan | Bhojpuri Holi Song 2021,"169,587,359",
"OFFICIAL Somewhere over the Rainbow - Israel ""IZ"" Kamakawiwoʻole","169,451,947",
[CHOREOGRAPHY] BTS (방탄소년단) 'Butter' Special Performance Video,"169,294,860",
Dynoro & Gigi D’Agostino - In My Mind,"168,682,462",
I Don't Want To Talk About It (from One Night Only! Rod Stewart Live at Royal Albert Hall),"168,660,667",
The Weeknd - The Hills (Official Video),"168,528,280",
Marshmello ft. Bastille - Happier (Official Music Video),"167,957,524",
"Tainy, Anuel AA, Ozuna - Adicto (Official Video)","167,613,509",
Adele - Hello (Official Music Video),"167,251,971",
Natti Natasha ❌ Ozuna - Criminal [Official Video],"166,329,382",
Khalid - Better (Official Video),"166,088,816",
Clean Bandit - Rockabye (feat. Sean Paul & Anne-Marie) [Official Video],"166,077,698",
(Everything I Do) I Do It For You (Official Music Video),"165,966,370",
Badshah - Jugnu (Official Video) | Nikhita Gandhi | Akanksha Sharma,"165,906,027",
The Chainsmokers - Closer (Lyric) ft. Halsey,"165,601,439",
James Arthur - Say You Won't Let Go,"164,458,587",
